Field Name,Datatype,Start,End,Length,Description
entity_id,int(12),1,12,12,Entity Id
entity_cd,char(5),13,17,5,Entity Code
entity_name,char(70),18,87,70,Entity Descriptive Name
land_hstd_val,numeric(15),88,102,15,Total Land Homestead Value
land_non_hstd_val,numeric(15),103,117,15,Total Land Non Homestead Value
imprv_hstd_val,numeric(15),118,132,15,Total Improvement Homestead Value
imprv_non_hstd_val,numeric(15),133,147,15,Total Improvement Non Homestead Value
ag_use_val,numeric(15),148,162,15,Total Agriculture Use Value
tim_use_val,numeric(15),163,177,15,Total Timber Use Value
ag_market_val,numeric(15),178,192,15,Total Agriculture Market Value
tim_market_val,numeric(15),193,207,15,Total Timber Market Value
taxable_val,numeric(15),208,222,15,Total Taxable Value
mineral_val,numeric(15),223,237,15,Total Mineral Value
personal_val,numeric(15),238,252,15,Total Personal Value
auto_val,numeric(15),253,267,15,Total Auto Value
real_mobile_val,numeric(15),268,282,15,Total Real/Mobile Value
num_real_mobile,int(12),283,294,12,Number of Real/Mobile Properties
num_personal,int(12),295,306,12,Number of Personal Properties
num_mineral,int(12),307,318,12,Number of Mineral Properties
num_auto,int(12),319,330,12,Number of Auto Properties
num_records,int(12),331,342,12,Number of Properties Overall
market_value,numeric(15),343,357,15,Total Market Value
hs_cap_count,int(12),358,369,12,Total Number of Capped Properties
hs_cap,numeric(15),370,384,15,Total HS Cap value
hs_count,int(12),385,396,12,Total Number of Homestead Properties
hs_local_amount,numeric(15),397,411,15,Total Local Option Homestead Exemption
hs_state_amount,numeric(15),412,426,15,Total State Mandated Homestead Exemption
ov65_count,int(12),427,438,12,Total Number of OV65 Properties
ov65_amt,numeric(15),439,453,15,Total Over 65 Exemption
dp_count,int(12),454,465,12,Total Number of DP Properties
dp_amt,numeric(15),466,480,15,Total Disability Exemption
dv_count,int(12),481,492,12,Total Number of Disabled Veteran Properties
dv_amt,numeric(15),493,507,15,Total Disabled Veteran Exemption
ab_count,int(12),508,519,12,Total Number of Abated Properties
ab_amt,numeric(15),520,534,15,Total Abatements
fr_count,int(12),535,546,12,Total Number of Freeport Properties
fr_amt,numeric(15),547,561,15,Total Freeport Exemptions
pc_count,int(12),562,573,12,Total Number of Pollution Control Properties
pc_amt,numeric(15),574,588,15,Total Pollution Control Exemptions
ex366_count,int(12),589,600,12,Total Number of $500 Minimum Value Properties
ex366_amt,numeric(15),601,615,15,Total $500 Minimum Value Exemptions
ht_count,int(12),616,627,12,Total Historical Properties
ht_amt,numeric(15),628,642,15,Total Historical Exemptions
so_count,int(12),643,654,12,Total Solar Properties
so_amt,numeric(15),655,669,15,Total Solar Exemption Amount
ex_count,int(12),670,681,12,Total Absolute Exemption Properties
ex_amt,numeric(15),682,696,15,Total Absolute Exemption Amount
ch_count,int(12),697,708,12,Total Charitable Exemption Properties
ch_amt,numeric(15),709,723,15,Total Charitable Exemption Amount
ag_late_count,int(12),724,735,12,Total Number of Late Ag Loss Properties
ag_late_loss,numeric(15),736,750,15,Total Late Ag Loss Amount
freeport_late_count,int(12),751,762,12,Total Number of Late Freeport Loss Properties
freeport_late_loss,numeric(15),763,777,15,Total Late Freeport Loss Amount
lve_count,int(12),778,789,12,Total number of lve exemptions
lve_amt,numeric(15),790,804,15,Totals leased vehicle exemption amount
year,int(4),805,808,4,Property val year
sup_num,int(12),809,820,12,Supplement number
eco_count,int(12),821,832,12,Total number of eco exemptions
eco_amt,numeric(15),833,847,15,Totals eco exemption amount
ag_use_val_ne,numeric(15),848,862,15,Totals ag use val non-exempt
ag_use_val_ex,numeric(15),863,877,15,Totals ag use val exempt
ag_market_ne,numeric(15),878,892,15,Totals market non-exempt
ag_market_ex,numeric(15),893,907,15,Totals ag market exempt
timber_use_ne,numeric(15),908,922,15,Totals timber use non-exempt
timber_use_ex,numeric(15),923,937,15,Totals timber use exempt
timber_market_ne,numeric(15),938,952,15,Totals timber market non-exempt
timber_market_ex,numeric(15),953,967,15,Totals timber market non-exempt
